Ryhmä;Suomenkielinen nimi;Tieteellinen nimi;Kuvaus;Koko;Kasvupaikka;Kemia;Levinneisyys;Mikrosienet;Muuta;Löydettyjä isäntäkasveja;Isäntäkasvin muita piensieniä;Löytöpaikoista Luopioisissa;Maastotuntomerkit;Vertaa seuraaviin;Kirjallisuus;Kuva 1;Kuva 2;Kuva 3;Kuva 4;Kuva 5;Kuva 6;Kuva 7;Kuva 8;Kuva 9;Kuva 10
Sammalet;Kolokärpänsammal;Rhabdoweisia crispata;Kolokärpänsammal kuuluu kärpänsammalten (Rhabdoweisiaceae) heimoon. Samassa suvussa on Suomessa 2 lajia. Verso pysty, mätästävä, vihreä tai kellanvihreä. Lehdet kuivina  kähärät, tuoreena siirottavat, kärjestä hampaiset. Keskisuoni on vahva ja ulottuu lehden kärkeen. Itiöpesäkkeet hyvin yleisiä, uurteisia, pystyjä, pitkäperäisiä. Peristomihampaat neulamaiset, pitkäsoluiset;Sammal on 1 - 2 cm korkea ja muodostaa tiheitä kasvustoja alustalleen.;Kostealla maalla kalliojyrkänteiden tyvellä, koloissa. onkaloissa ja raoissa.;;Paikoitellen Etelä- ja Keski-Suomessa, mutta harvinainen ja  uhanalainen.;;Vaatii kostean mikroilmaston ja kallioneduspuuston suojaamaan kasvustoa.;;;Kolokärpänsammal  kuuluu lehtisammaliin ja on Luopioisissa   hyvin harvinainen. Sammalta on tavattu vain kerran. Sitä kasvaa niukalti Padankoskella Isonmäenvuoressa kalliojyrkänteen tyvellä kosteassa onkalossa. Seurana sillä on ripsikellosammal, kalkkikiertosammal ja kalliotöppösammal. Kuvat on otettu Padankosken Isonmäenvuoren esiitymästä ja sieltä kerätystä näytteestä.;Pieni koko, kasvupaikka ja hampaiset lehdenkärjet (luppi).;Pohjantakkusammal Tummauurnasammal Kalliokärpänsammal Kalliotöppösammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/rhabdoweisia_crispata3.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/rhabdoweisia_cripata.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatS/rhabdoweisia_crispata.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/Sammalet%2C+pienet/rhabdoweisia_crispata2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/Sammalet%2C+pienet/rhabdoweisia_crispata4.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/rhabdoweisia_crispata1.jpg;;
Sammalet;Kolokiiltosammal;Pseudotaxiphyllum elegans;Kolokiiltosammal kuuluu laakasammalten (Plagiotheciaceae) heimoon ja on meillä sukunsa ainoa edustaja. Hento, litteäversoinen, kiiltävä sammal. Lehdet litteästi varrella, kapeakärkiset, hampaiset, lähes keskisuonettomat. Ituversoja runsaasti.;Pienikokoinen sammal, mutta muodostaa yhtenäisiä sinivihreitä peitteisiä kasvustoja.;Silikaattikallioiden jyrkänteiden tyvellä koloissa mineraalimaalla, joskus puiden tyvionkaloissa.;;Lähes koko maassa, etelässä yleinen pohjoisessa harvinaisempi.;;;;;Kolokiiltosammal  kuuluu lehtisammaliin ja on   Luopioisissa melko yleinen. Sammalta on tavattu pieninä laikkuina monien kalliojyrkänteiden tyveltä muiden sammalten päältä ja välistä sekä onkaloista että niiden ulkopuolelta, jopa viettäviltä kallioseiniltä. Se sotkeutuu helposti  lähisukujen muiden lajien kanssa, jolloin väri auttaa maastotunnistamisessa. Kuvat 1 ja 3 on otettu Haltian Pukkivuoren jyrkänteeltä, jossa sammal kasvaa runsaana. Kuva 4 on Kuhmoisten Harmoisista.;Sinivihreä litteä läiskä kalliontyvellä. Verson kärjet usein vaaleat, ituversoja paljon.;Kourulaakasammal Harsulaakasammal Kimmelsammal Pikkukiiltosammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/pseudotaxiphyllum_elegans1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/pseudotaxiphyllum_elegans.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatS/pseudotaxiphyllum_elegans.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/pseudotaxiphyllum_elegans2.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/pseudotaxiphyllum_elegans3.jpg;;;
Sammalet;Koloriippusammal;Alleniella besseri;Koloriippusammal kuuluu riippusammalten (Neckeraceae) heimoon. Suvusta on löydetty Suomesta kaksi lajia. Varret sulkahaaraiset. Lehdet poimuttomat, keskisuonettomat, kärjestä pyöreät. Itiöpesäkkeitä harvoin.;Hento, pienikokoinen, suikertava, ohuita mattomaisia kasvustoja muodostava sammal.;Ravinteisillä kallioilla sileällä ylikaltevalla kivipinnalla tai onkaloiden katossa, suojaisissa paikoissa. Mesotrofi.;;Harvinainen ja paikoittainen Etelä-Suomessa.;;Kansainvälinen vastuulaji. Vanha nimi Neckera besseri;;;Koloriippusammal  kuuluu lehtisammaliin ja on  Luopioisissa harvinainen. Sammalta on tavattu ravinteisilta kallioilta Padankoskelta ja Kuohijoelta. Se ei ole niilläkään paikoilla ollut kovin runsas. Usein seurassa ovat yleisemmät hiirenhäntäsammal ja siloriippusammal. Kuvat on otettu Padankosken Koturilankallion esiintymästä ja sieltä kerätystä näytteestä.;Keskisuoneton pyöreäkärkinen lehti, kasvupaikka.;Viuhkasammal Siloriippusammal Ryppyriippusammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/neckera_besseri3.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/neckera_besseri.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatS/neckera_besseri.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/neckera_besseri2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/neckera_besseri1.jpg;;;
Sammalet;Kolusammal;Coscinodon cribrosus;Kolusammal kuuluu kivisammalten (Grimmiaceae) heimoon. Se on sukunsa ainoa suomalainen laji. Tummanvihreän sammalen lehti päättyy pitkään vaaleaan karvaan. Lehtilaidat ovat hieman sisään kiertyneet. Lehtilavan kärkiosassa keskisuonen molemmin puolin pari selvää taitosta. Pystyjä pesäkkeitä esiintyy harvoin, peristomihampaat ovat punaiset.;Sammal on pienikokoinen (< 4 cm) ja muodostaa tiiviitä  mättäitä.;Kallioseinämien raoissa paahteisilla paikoilla silikaatti- ja liuskekallioilla. Joskus myös hiekalla.;;Hyvin harvinainen Varsinais-Suomessa ja pohjoisilla tuntureilla.;;Kasvin löytöpaikoista Kolusammal  kuuluu kärkipesäkkeellisiin lehtisammaliin. Sammal on  pääasiassa tunturialueen laji, jonka päälevinneisyysalue Pohjolassa on Skandeilla. Suomesta laji on löydetty vain muutamalta paikalta: Karjalohjalta ja Enontekiön tuntureilta. Itä-Lapista löytöjä on Kevon kanjonista ja Inarin Pahtavaaralta. Nyt löytynyt kasvusto on parillakin erillisella paikalla Lemmenjoella Vaijoen laaksossa. Kuvat on otettu Lemmenjoen kasvustosta, jossa sammal oli epätavallisen suurikokoista.;;;;Lehden pitkä kärkikarva, kasvupaikka, pitkittäistaitteiset lehdet.;Harmokivisammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/Lapinsammalet/coscinodon_cribrosus1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/Lapinsammalet/coscinodon_cribrosus2.jpg;;;;;;
Sammalet;Korallihopeasammal;Gymnomitrion coralloides;Korallihopeasammal kuuluu hopeasammalten (Gymnomitriaceae) heimoon. Suvusta on maastamme löydetty neljä lajia. Verso on litteä, sileä ja vihertävänharmaa. Lehdet tiiviisti vartta vasten painuneet, lovi matala, liuskat terävät.;Sammal on pienikokoinen (n. 1 - 2 cm pitkä, 0,5 mm leveä) ja muodostaa tiheitä  peitteitä.;Kuivalla humuksella, etelässä silikaattikallioiden seinämillä.;;Tunturialueilla yleinen, metsäalueella harvinainen.;;Kasvin löytöpaikoista Korallihopeasammal  kuuluu maksasammaliin. Sammal on  pääasiassa tunturialueen laji, jonka päälevinneisyysalue Pohjolassa on korkeiden tunturien lakialueilla. Suomessa sammalta tavataan pohjoisten maakuntien alueelta, mutta myös etelämpää, jossa kauimmaiset löydöt ovat nykyään PK:n alueelta. Vanhoja löytöjä on myös PS ja PH maakunnista. Kuvat on otettu Lemmenjoelta.;;;;Vaikea maastossa määrittää;Suippuhopeasammal Tunturihopeasammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/Lapinsammalet/gymnomitrion_corallioides1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/Lapinsammalet/gymnomitrion_corallioides2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/Lapinsammalet/gymnomitrion_corallioides3.jpg;;;;;
Sammalet;Korpihohtosammal;Herzogiella turfacea;Korpihohtosammal kuuluu laakasammalten (Plagiotheciaceae)  heimoon ja  Suomesta on löydetty kolme hohtosammallajia. Sammal on hento, litteäversoinen, kiiltävä sammal. Lehdet ovat tasaiset, lähes keskisuonettomat, pitkälti kapeakärkiset, lehdenlaita kärkiosasta hampainen. Itiöpesäkkeitä esiintyy usein runsaasti, ne ovat kuivana uurteisia.;Pienikokoinen sammal, mutta muodostaa yhtenäisiä  peitteisiä kasvustoja.;Lahokannoissa purojen partaalla lehtokorvissa, myös kostealla lehtoturpeella.;;Harvinaisena Etelä- ja Keski-Suomessa, pohjoisempana hyvin harvinainen.;;;;;Korpihohtosammal  kuuluu lehtisammaliin ja on   Luopioisissa harvinainen. Sammalta on tavattu vähäisiä määriä lehtokorvista purojen partaalta pitkälle maatuneista lahokannoista Rummakkojärvien alueelta useastakin paikasta ja Syväjärven laskupuron partaalta Laipanmaan eteläosista, jossa kasvuston pääalue on vanhan Pälkäneen puolella. Leppäjärven esiintymä on pieni ja hieman epävarma. Kuvat on otettu Syväjärven kasvupaikalta Laipanmaalta.;Lehtituntomerkit, kasvupaikka, uurteinen itiöpesäke.;Pikkukiiltosammal Kolokiiltosammal Kantohohtosammal Loukkohohtosammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/herzogiella_turfacea1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/herzogiella_turfacea.gif;https://luokasvit.s3.eu-west-1.amazonaws.com/KartatS/herzogiella_turfacea.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/herzogiella_turfacea2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/herzogiella_turfacea3.jpg;;;
Sammalet;Korpikaltiosammal;Harpanthus scutatus;Korpikaltiosammal kuuluu ryytisammalten (Geocalycaceae) heimoon. Suvussa on Suomessa kaksi lajia. Suikertava, kellanvihreä, harvahaarainen, alustaa vasten painunut sammal. Kaikki kylkilehdet samanlaiset, pyöreänsoikeat, lovi 1/4 - 1/6 lehdestä pyöreäpohjainen, liuskat tylpät. Vatsalehdet isot suipot, ehyet tai kummallakin reunalla yksi pieni hammas, toisesta reunasta kiinni selkälehdessä. 3 - 11 öljykappaletta solussa, gemmat harvinaisia.;Pienikokoinen sammal, 0,5 - 1,5 cm pitkä ja 1 - 1,5 mm leveä, joka muodostaa mattomaisia kasvustoja.;Kosteissa paikoilla maalla tai lahopuulla, purojen varsilla.;;Hyvin harvinainen Etelä- ja Keski-Suomessa.;;Vähentynyt huomattavasti kasvupaikkojen muutoksen vuoksi.;;;Purokaltiosammal  kuuluu maksasammaliin ja  on Luopioisissa hyvin harvinainen. Kasvia on tavattu vain kerran Pikku-Rummakko- järven laskupuron varresta. Olen etsinyt sammalta  myöhemminkin, mutta en ole löytänyt sitä uudelleen. Se jää helposti pienuutensa vuoksi huomaamatta. Kuvat on otettu Saarijärveltä kerätystä näytteestä.;Lehtien muoto, vatsalehdet (hyvä luppi!).;laholimisammal lovisammalet purokaltiosammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/harpanthus_scutatus1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/harpanthus_scutatus.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatS/harpanthus_scutatus.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/harpanthus_scutatus2.jpg;;;;
Sammalet;Korpikarhunsammal;Polytrichum commune;Korpikarhunsammal kuuluu karhunsammalten (Polytrichaceae) heimoon. Samassa suvussa on maassamme 10 lajia. Pystyversoinen, kookas sammal. Lehden reuna tasainen, päältä himmeä, reuna tuppeen saakka hampainen, jopa 12 mm pitkä. Varsi huovaton. Itiöpesäkkeen perä pitkä (< 12 cm), pesäke vaakasuora, särmikäs ja siinä on sompamainen kaulaosa. Huntu vaaleanruskea.;Isokokoinen sammal, joka muodostaa kasvupaikalleen laajoja yhtenäisiä kasvustoja.;Soistuvissa kangasmetsissä, rämeillä, kalliohyllyillä, happamalla turpeella.;;Yleinen koko maassa.;;;;;Korpikarhunsammal  kuuluu lehtisammaliin ja on   Luopioisissa hyvin yleinen. Sammal on runsas lähes kaikilla suonlaidoilla ja soistuneissa metsissä muodostaen laajoja pehmeitä mätäsmäisiä kasvustoja. Kuvat on otettu Kurkisuon laidasta ravinteisesta korvesta, jossa sammal on hyvin runsas.;Kasvutapa, koko;Kangaskarhunsammal Rämekarhunsammal Kytökarhunsammal Etelänkarhunsammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://luokasvit.s3-eu-west-1.amazonaws.com/polytrichum_commune3.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/polytrichum_commune.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatS/kokomaa.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/polytrichum_commune2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/polytrichum_commune1.jpg;;;
Sammalet;Korpikerrossammal;Hylocomiastrum umbratum;Korpikerrossammal kuuluu kerrossammalten (Hylocomiaceae) heimoon. Samassa suvussa on maassamme kaksi lajia. Pystyversoinen, kahteen kertaan haarautuva sammal. Lehdet teräväkärkiset, hammaslaitaiset, kolmiomaiset, tasaisesti suippenevat, keskisuoni lyhyt, verso vihertävä ja täysin kiilloton.;Keskikokoinen sammal, joka muodostaa yhtenäisiä löyhiä kasvustoja muiden sammalten joukkoon.;Varjoisissa lähteisissä korvissa, pohjoisrinteillä, kallionalusilla, mesotrofi.;;Jokseenkin yleinen pohjoisosassa maassa, etelässä harvinainen.;;;;;Korpikerrossammal  kuuluu lehtisammaliin ja on  Luopioisissa melko harvinainen. Sammalta on tavattu alueelta alle kymmenen kertaa: Ämmätsän Kulovuoren läheisyydestä ja Kuohijoelta Vangonkalliolta puronvarresta, sekä lehdosta Padankosken Leppäjärveltä. Näillä paikoilla se kasvoi lähteisessä lehtokorvessa  elinvoimaisena ja lähes puhtaina parin neliön kasvustoina. On todennäköisesti tätä yleisempi, mutta toisinaan vaikea erottaa tasaisesta sammalikosta. Kuvat 1 ja 2 on otettu Kulovuoren esiintymästä. Kuvat 3 ja 4 on otettu Padankosken Leppäjärven laajasta esiintymästä. Kenttätuntomerkki:  Kasvutapa.;;Metsäkerrosammal Seinäsammal Pohjankerrossammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/hylocomiastrum_umbratum3.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/hylocomiastrum_umbratum.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatS/hylocomiastrum_umbratum.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/hylocomiastrum_umbratum1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/hylocomiastrum_umbratum2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/hylocomiastrum_umbratum4.jpg;;
Sammalet;Korpilehväsammal;Plagiomnium ellipticum;Korpilehväsammal kuuluu lehväsammalten (Mniaceae) heimoon ja samasta suvusta  Suomessa on tavattu yhdeksän  lajia. Juurehtivia laakaversoja runsaasti. Lehdissä ohut reunus ja pieniä hampaita lehden tyvelle asti. Keskisuoni vahva  kärkeen saakka. Lehti on  kapeansoikea, teräväkärkinen ja johteeton. Juurtumahapsia runsaasti. Itiöpesäkkeitä esiintyy harvoin, 1 - 4 varrella.;Melko kookas sammal, muodostaa löyhiä laajojakin kasvustoja.;Kosteissa lehdoissa, lähteiköissä, purojen reunoilla, ravinteisissa korvissa, usein isojen saniaisten seurassa.;;Koko Suomessa yleinen. Sirkumboreaalinen.;;;;;Korpilehväsammal  kuuluu lehtisammaliin ja on   Luopioisissa melko yleinen. Sammalta on etsitty monenlaisilta kosteilta kasvupaikoilta, ravinteisista korvista, rannoilta, puutarhoista, ojista. Löytöpaikkoja on kuitenkin kovin vähän. Sammal sekoittuu helposti muihin isoihin lehväsammaliin. Kuvat on otettu Padankoskelta vanhasta lähteisestä lehmihaasta leppien alta, jossa sammal kasvoi yhdessä metsälehväsammalen, niittyhavusammalen  (kuva 3) ja lehtohaivensammalen kanssa. Kenttätuntomerkki: Teräväkärkinen ja alas asti hampainen lehti.;;Isolehväsammal Metsälehväsammal Lehtolehväsammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/plagiomnium_ellipticum1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/plagiomnium_ellipticum.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatS/kokomaa.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/plagiomnium_ellipticum2.jpg;;;;
Sammalet;Korpiliekosammal;Rhytidiadelphus subpinnatus;Korpiliekosammal kuuluu kerrossammalten (Hylocomiaceae) heimoon. Suvussa on Suomessa neljä lajia. Verso suikertava tai pysty, epäsäännöllisesti joskus sulkahaarainen, varsi punaruskea ylös asti, verson pää tylppä, harittavalehtinen. Lehdet kohtisuoraan siirottavat, leveätyviset, lyhytsuippuiset, taakäänteiset. Itiöpesäkkeet harvinaisia.;Keskikokoinen sammal, joka muodostaa löyhiä suikertavia kasvustoja.;Kostealla maalla lehdoissa, puronvarsissa, korvissa. Mesotrofi.;;Jokseenkin yleinen koko maassa. Paikoittainen. Sirkumboreaalinen.;;;;;Korpiliekosammal  kuuluu lehtisammaliin ja on Luopioisissa harvinainen. Sammalta on tavattu vain muutaman kerran, mutta sitä ei ole erityisesti pidetty silmällä. Sen löytäminen ei aina ole helppoa, mutta se näyttää kasvavan yhdessä isokastesammalen (Plagiochila asplenioides) kanssa. Löytöpaikat ovat Kirkonkylällä, Puutikkalassa, Kuohijoella ja Padankoskelta. Kuvat 3 ja 5 on otettu Kirkonkylän alueelta Iitinlahden rantakallioiden läheisyydestä. Kuvat 1 ja 4 on otettu Padankosken esiintymästä.;Pötkömäinen rakenne, varsi punainen  ylös asti.;Metsäliekosammal Niittyliekosammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/rhytidiadelphus_subpinnatus3.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/rhytidiadelphus_subpinnatus.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatS/rhytidiadelphus_subpinnatus.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/rhytidiadelphus_subpinnatus2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/rhytidiadelphus_subpinnatus4.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/rhytidiadelphus_subpinnatus1.jpg;;
Sammalet;Korpilovisammal;Lophozia silvicola;Korpilovisammal kuuluu lovisammalten (Lophoziaceae)  heimoon. Suvussa on 8 melko vaikeasti toisistaan erotettavaa lajia. Versot alustaa vasten painuneet, vaaleanvihreät, usein alapinnalta punertavat. Kylkilehdet kouruiset, siirottavat, melko matalaloviset. Vatsalehdet puuttuvat. Ritsoideja paljon. Gemmat vaalean vihreät, runsaasti. Soluissa runsaasti öljykappaleita (15 - 24).;Pienikokoinen sammal, 1 - 2 cm pitkä, 1,3 - 1,8 mm leveä, harvakseltaan muiden sammalten seassa.;Tuoreissa kangasmetsissä, korvissa, silikaattikallioilla, humuksella, rahkamättäillä.;;Yleinen koko maassa.;;Usein yhdistetty L. ventricosaan ja on vaikea siitä erottaa.;;;Korpilovisammal  kuuluu maksasammaliin ja on  Luopioisissa  harvinainen. Sammalta olen mielestäni tavannut muutaman kerran, mutta koska se on hyvin vaikea erottaa kantolovisammalesta, niin varmoja määrityksiä ei ole kuin kaksi. Sammalta kasvoi Padankosken Leppäjärven rantasoistumalla rahkasammalten seassa niukasti. Toinen määritys on Laipanmaalta. Laji on kuitenkin Suomessa yleinen, joten sitä löytynee tulevaisuudessa lisää. Kuvat on otettu Leppäjärven kasvupaikalta ja sieltä kerätystä näytteestä kesällä 2014.;Lehden vaalea väri, lehden muoto ja alapinnan punainen pigmentti.;Vertaa seuraaviin kantolovisammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/lophozia_silvicola1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/lophozia_silvicola.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatS/lophozia_silvicola.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/lophozia_silvicola2.jpg;;;;
Sammalet;Korpipaanusammal;Calypogeia integristipula;Korpipaanusammal kuuluu paanusammalten (Calypogeiaceae) heimoon. Suvusta on tavattu maassamme kuusi lajia. Suikertava, litteä, alustaa vasten painunut sammal. Kylkilehdet kahteen suuntaan siirottavat, vinosti varrelle kiinnittyneet, sinivihreät, yläpeitteiset, keskeltä leveimmät. Vatsalehdet lähes pyöreät, ehyet tai matalalovelliset.;Pieni sammal, joka muodostaa vaaleanvihreitä, tiheitä peitteitä kasvualustalleen.;Varjoisilla kosteilla paikoilla, tuulenkaatojen tyvipaakuissa, lahokannoilla, metsäojien ja kuoppien reunoissa, kallionkolojen pohjalla. Humuksella tai mineraalimaalla.;;Yleinen koko maassa.;;;;;Korpipaanusammal  kuuluu maksasammaliin ja on   Luopioisissa  melko yleinen. Sammalta on tavattu melko runsaana monenlaisilta paikoilta sekä kallioilta että kosteista painanteista, kuten ojista juuripaakuista. Se on kuitenkin vaikea erottaa kalvaspaanusammalesta ja usein se on merkitty muistiin lajia määrittämättä. Paanusammalista yleisin ja runsain. Kuvat on otettu Padankoskelta soistuvasta korvesta kaatuneen kuusen juuripaakusta.;Sammalen väri ja paanumainen kasvutapa.;Kalvaspaanusammal Loukkopaanusammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/calypogeia_integristipula1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/calypogeia_integristipula.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatS/kokomaa.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/calypogeia_integristipula3.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/calypogeia_integristipula2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/calypogeia_integristipula4.jpg;;
Sammalet;Korpirahkasammal;Sphagnum girgensohnii;Korpirahkasammal kuuluu rahkasammalten (Sphagnaceae) heimoon ja on yksi Sphagnum-suvun Suomessa esiintyvistä 40 lajista. Helpoimmin sen erottaa muista rahkasammalista syvän vihreän värin ja tähtimäisen latvan perusteella. Määrityskaavallisesti se löytyy seuraavasti: ei möyheä - tähtimäinen latvus - haarakimpussa kolme haaraa - vaalea varsi - varsilehti kielimäinen, risakärkinen.;Kookas ja roteva rahkasammal, joka muodostaa kasvupaikalleen laajoja yhtenäisiä kasvustoja.;Korvissa ja soistuvissa metsissä mätäs- ja välipinnalla.;;Yleinen koko maassa.;;;;;Korpirahkasammal  kuuluu lehtisammaliin ja on   Luopioisissa yleinen. Sammalta on tavattu laajalti ja runsaana erilaisista soistuvista korpimetsistä, rannoilta ja tulvamailta. Se näyttää olevan rahkasammalista yleisin ja on helppo tunnistaa väristä ja tähtimäisestä latvuksesta. Kuvat on otettu Kurkisuon laitakorven kasvustoista.;Väri ja tähtimäinen latvus.;Muut rahkasammalet.;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sphagnum_girgensohnii3.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatL/sphagnum_girgensohnii.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/KartatS/kokomaa.gif;https://s3-eu-west-1.amazonaws.com/luokasvit/sphagnum_girgensohnii4.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sphagnum_girgensohnii2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sphagnum_girgensohnii1.jpg;;
Sammalet;Koskikorvasammal;Solenostoma obovatum;Koskikorvasammal kuuluu  Solenostomataceae-heimoon. Suvussa on viisi vaikeasti toisistaan erotettavaa lajia. Verso suikertava alustaan löyhästi kiinnittynyt, tummanvihreä tai punertava, varsi tumma. Ritsoidit punertavat. Kylkilehdet  pyöreät, solut trigonikkaat, öljykappaleita 2-4 joka solussa. Periantit pysyviä,  yleisiä.;Sammal on 0,5 - 4 cm pitkä, 0,5 - 5 mm leveä, muodostaa tiheitä kasvustoja alustalleen.;Koskikivillä ja -kallioilla, usein vedenalaisena, usein pärskevyöhykkeessä.;;Hyvin harvinainen lähinnä Pohjois-Suomessa.;;Vanha nimi Jungermannia obovata Kasvin löytöpaikoista Koskikorvasammal  kuuluu maksasammaliin. Sammal on huonosti tunnettu ja sen kasvupaikat taantuneet vesirakentamisen vuoksi. Nykytietoja sammalesta on vähän. Lähimmät löytöpaikat ovat Keski-Suomessa (Kes2b). Sammalen löytyminen Luopioisista on hyvin epätodennäköistä. Kesän 2015 sammalretkellä Pohjois-Lapissa sammal tuli vastaan ainakin Lemmenjoen sivupurojen varsilla. Kuvat on otettu Hyrynsalmen Paljakasta pienen puron kiveltä kerätystä näytteestä.;;;;Kasvupaikka, periantit, lehden muoto.;Vertaa seuraaviin Kantokorvasammal Rantakorvasammal;;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/sulka2.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/jungermannia_obovata1.jpg;https://s3-eu-west-1.amazonaws.com/luokasvit/jungermannia_obovata2.jpg;;;;;;
